startup_name,article_url,funding_amount,investors,date_added
Iom Bioworks,https://yourstory.com/2026/06/iom-bioworks-coffee-husk-prebiotic-gut-brain-health,Rs 4 crore,Inflection Point Ventures,2026-06-03 09:46:38
Agilitas,https://yourstory.com/2026/06/agilitas-gets-225-crore-funding-nexus-venture-rainmatter-zerodha,225 crore,"Nexus Venture Partners, Rainmatter by Zerodha",2026-06-03 10:23:47
FirstClub,https://yourstory.com/2026/06/weekly-funding-roundup-may-30--june-5-bounce-back-in-vc-inflow-into-indian-startups,$55 million,"Peak XV Partners, Sofina, Accel, RTP Global, Paramark Ventures",2026-06-06 05:32:03
Ola Electric Mobility,https://yourstory.com/2026/06/ola-electric-raises-rs-780-crore-qip-oversubscribed-ev-funding,780 crore,"Goldman Sachs, BNP Climate Fund, Motilal Oswal Mutual Fund, Mirae Asset Mutual Fund, Kotak Mahindra Mutual Fund, JM Financial Mutual Fund, Baroda BNP Paribas Mutual Fund",2026-06-06 05:32:03
FirstClub,https://yourstory.com/2026/06/karnataka-deeptech-quantum-computing-vision,$55M,,2026-06-06 05:32:03
Ola Electric Mobility,https://yourstory.com/2026/06/ola-electric-raises-780-crore-via-qip,780 crore,"Goldman Sachs, BNP Climate Fund, Motilal Oswal Mutual Fund, Mirae Asset Mutual Fund, Kotak Mahindra Mutual Fund, JM Financial Mutual Fund, Baroda BNP Paribas Mutual Fund",2026-06-06 05:32:03
Innefu Labs,https://yourstory.com/2026/06/innefu-labs-raises-30-million-in-series-b-from-panthera-growth-partners,$30 million,Panthera Growth Partners,2026-06-06 05:32:03
FirstClub,https://yourstory.com/2026/06/ecommerce-is-ripe-for-disruption,$55M,,2026-06-06 05:32:03
VerveSemi,https://yourstory.com/2026/06/3-indian-semiconductor-startups-are-taking-indias-chip-story-to-france,$10 million,"Ashish Kacholia, Unicorn India Ventures",2026-06-06 05:32:03
Innefu Labs,https://yourstory.com/2026/06/startup-news-and-updates-daily-roundup-june-5-2026,30 million,Panthera Growth Partners,2026-06-06 05:32:03
FirstClub,https://inc42.com/buzz/from-firstclub-to-innefu-indian-startups-raised-187-mn-this-week/,$55 Mn,"Peak XV Partners, Sofina, Accel, RTP Global, Paramark Ventures",2026-06-06 05:32:03
